index,Algorithm,keygen/s,keygen(cycles),encaps/s,encaps(cycles),decaps/s,decaps(cycles)
0,BIKE-L1,65.51,15262390,643.45,1553481,36.95,27066774
1,BIKE-L3,21.37,46798734,224.18,4460181,11.78,84848661
2,Classic-McEliece-348864,0.8300000000000001,1198085205,891.7,1121002,1156.61,864275
3,Classic-McEliece-348864f,1.0,1004058709,904.67,1105269,1165.33,858037
4,Classic-McEliece-460896,0.27,3696856064,445.67,2243615,480.51,2081246
5,Classic-McEliece-460896f,0.26,3801146880,447.37,2234860,481.33,2077602
6,Classic-McEliece-6688128,0.08,12250652416,226.92,4406708,423.86,2358905
7,Classic-McEliece-6688128f,0.14,6954275328,225.37,4436679,434.19,2302849
8,Classic-McEliece-6960119,0.09,11761363712,234.02,4272187,448.85,2227366
9,Classic-McEliece-6960119f,0.16,6173014016,234.02,4272166,447.04,2236718
10,Classic-McEliece-8192128,0.1,9869747200,177.49,5632872,444.37,2250339
11,Classic-McEliece-8192128f,0.13,7450968320,174.38,5734400,435.71,2294935
12,HQC-128,1192.94,838029,669.44,1493406,456.0,2192882
13,HQC-192,504.17,1983121,266.73,3749365,186.88,5351808
14,HQC-256,274.73,3639389,139.62,7161025,97.14,10293105
15,Kyber512,8378.33,119208,8545.33,116874,11761.33,84875
16,Kyber768,6267.0,159423,5983.33,166994,7577.0,131828
17,Kyber1024,4550.67,219613,4196.0,238165,4929.33,202712
18,Kyber512-90s,3325.0,300606,2771.67,360658,2410.33,414729
19,Kyber768-90s,2025.67,493523,1729.33,578084,1521.33,657183
20,Kyber1024-90s,1334.0,749553,1168.28,855690,1042.32,959146
21,NTRU-HPS-2048-509,142.38,7022862,3075.67,324964,2410.67,414695
22,NTRU-HPS-2048-677,83.58,11962351,2131.0,469120,1560.0,640863
23,NTRU-HPS-4096-821,58.29,17153409,1694.33,590121,1194.33,837244
24,NTRU-HPS-4096-1229,26.89,37179746,979.67,1020561,613.13,1630675
25,NTRU-HRSS-701,78.67,12711851,3376.67,296012,1506.33,663745
26,NTRU-HRSS-1373,21.1,47386808,1072.98,931750,410.53,2435836
27,ntrulpr653,1274.0,784837,848.67,1178185,639.12,1564330
28,ntrulpr761,1033.0,967997,670.33,1491733,498.33,2006651
29,ntrulpr857,871.71,1146886,555.0,1801679,409.33,2442855
30,ntrulpr1277,476.84,2096791,287.9,3473747,206.79,4836152
31,sntrup653,58.94,16964650,1442.0,693348,793.74,1259639
32,sntrup761,44.4,22520440,1152.0,867966,606.8,1648039
33,sntrup857,34.22,29220504,961.68,1039584,492.84,2028578
34,sntrup1277,15.93,62780635,510.0,1960643,239.35,4177455
35,LightSaber-KEM,7034.67,142006,8538.33,116965,10469.67,95373
36,Saber-KEM,5348.33,186829,6009.0,166274,6743.0,148145
37,FireSaber-KEM,4083.33,244760,4310.33,231847,4615.33,216520
38,FrodoKEM-640-AES,62.44,16017977,59.98,16673950,60.09,16640286
39,FrodoKEM-640-SHAKE,102.06,9798894,77.54,12895748,77.84,12845877
40,FrodoKEM-976-AES,27.13,36858018,26.2,38169474,26.27,38066289
41,FrodoKEM-976-SHAKE,45.86,21806030,35.03,28548391,35.26,28357325
42,FrodoKEM-1344-AES,14.3,69906444,13.86,72132736,13.91,71901531
43,FrodoKEM-1344-SHAKE,25.14,39775667,19.14,52265446,19.21,52043886
