index,Algorithm,insts,maxBytes,maxHeap,extHeap,maxStack
0,BIKE-L1,3131315,89976,12577,87,77312
1,BIKE-L3,5251937,173096,20543,73,152480
2,Classic-McEliece-348864,2082283,306904,271940,68,34896
3,Classic-McEliece-348864f,2082771,306904,271940,68,34896
4,Classic-McEliece-460896,2152520,604296,542156,60,62080
5,Classic-McEliece-460896f,2153011,604296,542156,60,62080
6,Classic-McEliece-6688128,2157404,1139416,1063364,68,75984
7,Classic-McEliece-6688128f,2157899,1139416,1063364,68,75984
8,Classic-McEliece-6960119,2155753,1128488,1065693,91,62704
9,Classic-McEliece-6960119f,2156248,1128488,1065693,91,62704
10,Classic-McEliece-8192128,2155139,1451784,1376384,56,75344
11,Classic-McEliece-8192128f,2155644,1451784,1376384,56,75344
12,HQC-128,3513345,84336,13387,101,70848
13,HQC-192,5209404,164192,22478,98,141616
14,HQC-256,8055935,259696,33367,89,226240
15,Kyber512,1998014,19848,7440,56,12352
16,Kyber768,2002229,26832,9136,96,17600
17,Kyber1024,2008197,34520,10544,56,23920
18,Kyber512-90s,2105592,18880,7936,96,10848
19,Kyber768-90s,2142062,25248,9408,96,15744
20,Kyber1024-90s,2575379,32872,11208,112,21552
21,NTRU-HPS-2048-509,2000770,30440,6573,75,23792
22,NTRU-HPS-2048-677,2007352,34424,7334,98,26992
23,NTRU-HPS-4096-821,2008557,40232,8290,70,31872
24,NTRU-HPS-4096-1229,2022003,57352,10290,86,46976
25,NTRU-HRSS-701,2009055,35432,7966,90,27376
26,NTRU-HRSS-1373,2035790,71192,12025,95,59072
27,ntrulpr653,3262344,21208,7287,97,13824
28,ntrulpr761,3602908,20888,7740,60,13088
29,ntrulpr857,3934061,26056,8199,65,17792
30,ntrulpr1277,5729766,31464,10293,83,21088
31,sntrup653,3189612,17928,7649,87,10192
32,sntrup761,3558469,20040,8200,80,11760
33,sntrup857,3926315,21960,8745,63,13152
34,sntrup1277,5985597,30536,11213,91,19232
35,LightSaber-KEM,2003072,25840,7440,96,18304
36,Saber-KEM,2008873,39536,8848,96,30592
37,FireSaber-KEM,2014250,56032,10288,96,45648
38,FrodoKEM-640-AES,2993352,146896,43496,72,103328
39,FrodoKEM-640-SHAKE,2992106,123632,44264,104,79264
40,FrodoKEM-976-AES,3525843,224960,66960,80,157920
41,FrodoKEM-976-SHAKE,3523757,188896,67728,96,121072
42,FrodoKEM-1344-AES,4079941,307536,90544,64,216928
43,FrodoKEM-1344-SHAKE,4076946,257488,91312,96,166080
