index,Algorithm,insts,maxBytes,maxHeap,extHeap,maxStack
0,Dilithium2,2007682,66736,15096,104,51536
1,Dilithium3,2009316,97360,18081,95,79184
2,Dilithium5,2025610,143184,20887,105,122192
3,Dilithium2-AES,2007686,66984,15320,128,51536
4,Dilithium3-AES,2009319,97608,18305,119,79184
5,Dilithium5-AES,2025608,143432,21111,129,122192
6,Falcon-512,2323341,52992,11704,136,41152
7,Falcon-1024,2698901,95488,14264,136,81088
8,Rainbow-III-Classic,1971754,1512848,1512296,40,512
9,Rainbow-III-Circumzenithal,1992002,908904,895136,88,13680
10,Rainbow-III-Compressed,1352122614,1571664,269104,80,1302480
11,Rainbow-V-Classic,1972295,3344064,3343504,48,512
12,Rainbow-V-Circumzenithal,1992786,1971672,1949400,96,22176
13,Rainbow-V-Compressed,3610436017,3442448,540680,88,2901680
14,SPHINCS+-Haraka-128f-robust,2167374,28672,26020,92,2560
15,SPHINCS+-Haraka-128f-simple,2167808,28672,26020,92,2560
16,SPHINCS+-Haraka-128s-robust,2168170,19440,16788,92,2560
17,SPHINCS+-Haraka-128s-simple,2168604,19440,16788,92,2560
18,SPHINCS+-Haraka-192f-robust,2168836,47328,44644,92,2592
19,SPHINCS+-Haraka-192f-simple,2169265,47328,44644,92,2592
20,SPHINCS+-Haraka-192s-robust,2169631,27872,25204,92,2576
21,SPHINCS+-Haraka-192s-simple,2170060,27872,25204,92,2576
22,SPHINCS+-Haraka-256f-robust,2179084,61584,58884,92,2608
23,SPHINCS+-Haraka-256f-simple,2179513,61584,58884,92,2608
24,SPHINCS+-Haraka-256s-robust,16282437717,42000,34252,68,7680
25,SPHINCS+-Haraka-256s-simple,9915024297,42000,34252,68,7680
26,SPHINCS+-SHA256-128f-robust,1979439,27648,26020,92,1536
27,SPHINCS+-SHA256-128f-simple,1979878,27648,26020,92,1536
28,SPHINCS+-SHA256-128s-robust,1980235,18416,16788,92,1536
29,SPHINCS+-SHA256-128s-simple,1980669,18416,16788,92,1536
30,SPHINCS+-SHA256-192f-robust,1981810,46432,44644,92,1696
31,SPHINCS+-SHA256-192f-simple,1982244,46432,44644,92,1696
32,SPHINCS+-SHA256-192s-robust,1981692,26832,25204,92,1536
33,SPHINCS+-SHA256-192s-simple,1982126,26832,25204,92,1536
34,SPHINCS+-SHA256-256f-robust,466258718,60712,54532,100,6080
35,SPHINCS+-SHA256-256f-simple,210384931,60704,54652,116,5936
36,SPHINCS+-SHA256-256s-robust,9108988599,40976,34588,116,6272
37,SPHINCS+-SHA256-256s-simple,1983435,40448,38820,92,1536
38,SPHINCS+-SHAKE256-128f-robust,1982731,27648,26020,92,1536
39,SPHINCS+-SHAKE256-128f-simple,1983196,27648,26020,92,1536
40,SPHINCS+-SHAKE256-128s-robust,1983604,18416,16788,92,1536
41,SPHINCS+-SHAKE256-128s-simple,1984069,18416,16788,92,1536
42,SPHINCS+-SHAKE256-192f-robust,1985246,46432,44644,92,1696
43,SPHINCS+-SHAKE256-192f-simple,1985721,46432,44644,92,1696
44,SPHINCS+-SHAKE256-192s-robust,1985190,26832,25204,92,1536
45,SPHINCS+-SHAKE256-192s-simple,1985660,26832,25204,92,1536
46,SPHINCS+-SHAKE256-256f-robust,1984863,60096,58884,92,1120
47,SPHINCS+-SHAKE256-256f-simple,1985328,60096,58884,92,1120
48,SPHINCS+-SHAKE256-256s-robust,1986648,40448,38820,92,1536
49,SPHINCS+-SHAKE256-256s-simple,1987113,40448,38820,92,1536
50,picnic_L1_FS,2289743,186008,183306,382,2320
51,picnic_L1_UR,2254710,267304,264862,234,2208
52,picnic_L1_full,2275840,176328,173718,290,2320
53,picnic_L3_FS,2688095,377288,374854,226,2208
54,picnic_L3_UR,2690768,562776,560770,214,1792
55,picnic_L3_full,2658157,342088,339461,227,2400
56,picnic_L5_FS,3196901,610904,608874,238,1792
57,picnic_L5_UR,3200854,934520,932050,262,2208
58,picnic_L5_full,2010142,574856,572896,168,1792
59,picnic3_L1,85406009,1333392,1312511,19505,1376
60,picnic3_L3,185269671,3101864,3076746,23742,1376
61,picnic3_L5,301105115,5820296,5789770,29150,1376
