index,Algorithm,frodo640aes,frodo640shake,frodo976aes,frodo976shake,frodo1344aes,frodo1344shake,kyber512,kyber768,kyber1024,ntru_hps2048509,ntru_hps2048677,ntru_hps4096821,ntru_hps40961229,ntru_hrss701,ntru_hrss1373,lightsaber,saber,firesaber,bikel1
0,dilithium2,28.07,38.84,12.31,18.75,6.82,10.24,425.97,434.62,378.65,102.07,67.28,48.54,24.46,62.8,19.15,455.26,406.02,383.91,22.53
1,p256_dilithium2,26.98,38.84,12.21,18.75,6.57,10.48,291.01,276.29,272.45,90.67,61.96,47.02,23.76,59.52,18.38,275.0,283.33,263.64,22.28
2,rsa3072_dilithium2,27.27,38.14,12.59,18.49,6.82,10.16,286.36,325.0,331.58,91.23,61.64,46.67,24.14,63.89,18.18,330.0,295.24,295.45,22.47
3,dilithium3,27.87,39.67,12.5,19.17,6.92,10.16,361.54,338.37,346.99,100.72,66.46,48.8,24.18,63.92,18.85,352.44,367.09,326.74,22.53
4,p384_dilithium3,23.62,31.58,11.51,16.8,6.43,9.84,110.11,111.49,111.24,62.07,46.62,36.69,20.86,45.52,16.67,117.65,111.36,111.36,19.57
5,dilithium5,27.87,38.4,12.5,18.7,6.67,10.4,284.71,306.9,280.65,93.2,63.12,46.43,23.63,63.87,18.92,296.67,271.88,270.83,21.98
6,p521_dilithium5,20.16,24.8,11.03,14.49,6.25,9.17,58.14,59.77,56.67,40.74,34.55,28.57,17.48,33.62,14.94,58.62,59.77,58.14,17.11
7,dilithium2_aes,27.87,37.8,12.78,18.7,6.62,10.32,337.68,348.44,319.72,100.0,65.25,48.12,24.02,62.16,18.82,363.08,340.58,321.74,22.78
8,p256_dilithium2_aes,26.19,37.6,12.5,17.89,6.77,10.24,268.06,258.9,240.0,90.48,60.54,45.1,24.0,58.33,18.58,261.04,258.11,246.84,21.62
9,rsa3072_dilithium2_aes,27.69,36.96,12.59,18.03,6.82,10.08,294.74,272.73,276.19,92.59,61.76,47.56,23.08,59.72,18.18,327.78,280.0,260.87,21.79
10,dilithium3_aes,27.2,37.8,12.5,18.4,6.62,10.32,273.02,278.46,255.38,94.59,61.15,46.67,23.95,59.86,18.97,273.02,283.61,270.77,22.1
11,p384_dilithium3_aes,23.26,30.77,11.68,16.79,6.52,9.84,105.63,102.53,102.6,58.33,45.61,36.09,20.53,44.83,16.36,102.5,97.5,105.13,19.44
12,dilithium5_aes,26.45,36.72,12.03,18.25,6.77,10.16,228.79,201.35,201.3,81.36,58.96,43.26,22.81,57.58,18.08,209.33,219.12,208.45,21.98
13,p521_dilithium5_aes,19.49,24.37,10.71,14.5,6.15,8.7,57.14,52.94,54.22,40.0,32.43,26.79,17.48,32.11,14.58,54.76,53.57,55.0,16.57
14,falcon512,27.93,39.29,12.69,19.17,6.82,10.48,494.44,450.0,395.65,103.08,70.37,49.0,24.81,65.48,19.33,473.68,433.33,500.0,23.13
15,p256_falcon512,27.27,38.05,12.21,18.9,6.82,10.08,341.67,293.1,293.1,92.65,64.71,47.0,23.85,65.06,18.67,356.52,318.52,292.86,22.73
16,rsa3072_falcon512,27.91,37.33,12.78,18.27,6.92,10.24,381.82,307.14,300.0,102.78,62.26,48.39,23.23,63.46,18.42,350.0,300.0,323.08,21.83
17,falcon1024,28.57,38.96,12.78,18.35,6.92,10.24,460.0,353.85,391.67,102.63,67.27,46.38,24.27,63.16,18.97,346.15,361.54,353.85,22.97
18,p521_falcon1024,20.31,25.64,11.11,14.81,6.29,8.94,61.9,64.29,61.36,43.86,33.82,29.33,17.53,34.33,14.68,64.29,61.36,58.7,17.05
19,picnicl1full,20.9,26.52,10.87,14.81,6.21,9.38,65.56,66.33,64.21,44.54,36.22,30.43,18.47,37.1,15.15,69.15,66.0,62.38,17.84
20,p256_picnicl1full,20.16,24.31,10.56,14.62,6.06,8.89,63.83,61.39,61.0,41.8,36.0,29.63,17.95,35.16,14.88,63.54,61.62,62.63,16.76
21,rsa3072_picnicl1full,20.59,26.32,10.79,14.63,6.2,9.02,65.45,65.45,64.29,44.44,35.29,30.0,17.8,36.14,14.73,64.29,61.02,63.16,17.2
22,picnic3l1,13.0,14.68,8.33,10.24,5.33,7.26,22.73,22.35,22.73,19.15,17.65,15.84,11.86,17.82,10.32,22.99,22.89,22.73,11.41
23,p256_picnic3l1,12.77,14.55,8.03,10.57,5.0,7.09,21.11,22.35,22.47,19.57,17.0,15.89,11.67,17.17,10.32,22.73,21.84,22.35,11.41
