index,Algorithm,insts,maxBytes,maxHeap,extHeap,maxStack
0,BIKE-L1,2644856,47352,11436,92,35824
1,BIKE-L3,3774608,87448,17860,84,69504
2,Classic-McEliece-348864,831757870,2575632,271748,44,2303840
3,Classic-McEliece-348864f,442588720,2575632,271748,44,2303840
4,Classic-McEliece-460896,2015970632,2753328,541904,32,2211392
5,Classic-McEliece-460896f,1309321088,2753328,541904,32,2211392
6,Classic-McEliece-6688128,3453949240,3274960,1063060,44,2211856
7,Classic-McEliece-6688128f,2475882088,3274960,1063060,44,2211856
8,Classic-McEliece-6960119,3135178568,3277296,1065403,53,2211840
9,Classic-McEliece-6960119f,2268846849,3277296,1065403,53,2211840
10,Classic-McEliece-8192128,4963060176,3588144,1376080,32,2212032
11,Classic-McEliece-8192128f,2851703593,3588144,1376080,32,2212032
12,HQC-128,2427430,57848,9210,94,48544
13,HQC-192,2827844,109832,13324,60,96448
14,HQC-256,3235360,172664,18770,54,153840
15,Kyber512,1972925,18416,11176,56,7184
16,Kyber768,1973076,23952,12328,56,11568
17,Kyber1024,1973234,30480,13480,56,16944
18,Kyber512-90s,1973462,17888,11176,56,6656
19,Kyber768-90s,1973612,23152,12328,56,10768
20,Kyber1024-90s,1973786,29488,13480,56,15952
21,NTRU-HPS-2048-509,7870897,35344,5810,46,29488
22,NTRU-HPS-2048-677,12131137,41264,6340,60,34864
23,NTRU-HPS-4096-821,16709929,48560,6996,44,41520
24,NTRU-HPS-4096-1229,34259223,70288,8384,48,61856
25,NTRU-HRSS-701,12609145,40304,6764,52,33488
26,NTRU-HRSS-1373,41647633,82080,9560,56,72464
27,ntrulpr653,1974052,19504,10766,82,8656
28,ntrulpr761,1974230,17904,11077,59,6768
29,ntrulpr857,3091104,22912,6823,41,16048
30,ntrulpr1277,4084487,26736,8254,50,18432
31,sntrup653,7366133,18960,11256,72,7632
32,sntrup761,9003432,20464,11665,79,8720
33,sntrup857,10842796,21808,12065,63,9680
34,sntrup1277,67402909,30448,9302,58,21088
35,LightSaber-KEM,1974942,25184,10984,56,14144
36,Saber-KEM,1974987,36640,12040,56,24544
37,FireSaber-KEM,1976694,50976,13096,56,37824
38,FrodoKEM-640-AES,2473096,76456,33744,40,42672
39,FrodoKEM-640-SHAKE,2472533,71512,34512,72,36928
40,FrodoKEM-976-AES,2880753,115832,51600,72,64160
41,FrodoKEM-976-SHAKE,2876698,107752,51936,56,55760
42,FrodoKEM-1344-AES,3193419,155832,68848,40,86944
43,FrodoKEM-1344-SHAKE,3193128,146088,69616,72,76400
